Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>11</b>,<b><a href='https://tossinvest.com/stocks/JPM/analytics'>JPM</a></b>,JPMorgan Chase & Co,US,10,50.2%,10,50.1%,9,44.3%,9,44.0%,6,1.1%,Financials,Banks,buy,13.51,746.00B,<span style='color: red;'>-3.14%</span>,<span style='color: green;'>1.43%</span>,<span style='color: green;'>8.76%</span>,<span style='color: green;'>24.57%</span>,<span style='color: green;'>51.63%</span>,<span style='color: green;'>11.30%</span>,17.28%,1.98%,7.69%,-4.80%,49.55%,8.83M,1.09
<b>12</b>,<b><a href='https://tossinvest.com/stocks/CFG/analytics'>CFG</a></b>,Citizens Financial Group Inc,US,10,50.2%,9,48.1%,9,46.4%,9,47.2%,5,1.5%,Financials,Banks,buy,15.26,20.19B,<span style='color: green;'>0.04%</span>,<span style='color: red;'>-4.41%</span>,<span style='color: red;'>-1.28%</span>,<span style='color: green;'>12.10%</span>,<span style='color: green;'>51.06%</span>,<span style='color: green;'>5.53%</span>,6.21%,3.74%,3.80%,-6.23%,52.43%,3.76M,1.32
<b>13</b>,<b><a href='https://tossinvest.com/stocks/COF/analytics'>COF</a></b>,Capital One Financial Corp,US,10,50.1%,10,50.8%,9,45.6%,9,44.0%,6,1.0%,Financials,Consumer Finance,buy,17.72,78.29B,<span style='color: green;'>4.49%</span>,<span style='color: green;'>6.29%</span>,<span style='color: green;'>10.93%</span>,<span style='color: green;'>44.16%</span>,<span style='color: green;'>51.46%</span>,<span style='color: green;'>15.17%</span>,7.86%,1.22%,4.20%,-2.25%,60.16%,2.94M,1.48
<b>14</b>,<b><a href='https://tossinvest.com/stocks/EWBC/analytics'>EWBC</a></b>,"East West Bancorp, Inc",US,10,49.7%,9,47.3%,9,45.4%,9,45.9%,5,1.8%,Financials,Banks,False,11.65,13.46B,<span style='color: green;'>0.01%</span>,<span style='color: red;'>-6.35%</span>,<span style='color: red;'>-6.02%</span>,<span style='color: green;'>19.37%</span>,<span style='color: green;'>37.81%</span>,<span style='color: green;'>1.42%</span>,15.89%,2.43%,10.27%,-14.77%,41.20%,883.74K,1.26
<b>15</b>,<b><a href='https://tossinvest.com/stocks/WBS/analytics'>WBS</a></b>,Webster Financial Corp,US,10,49.6%,9,46.1%,9,46.5%,8,42.3%,5,1.6%,Financials,Banks,False,13.19,9.89B,<span style='color: red;'>-1.91%</span>,<span style='color: red;'>-4.31%</span>,<span style='color: red;'>-4.00%</span>,<span style='color: green;'>26.69%</span>,<span style='color: green;'>25.06%</span>,<span style='color: green;'>4.44%</span>,8.70%,2.81%,6.11%,-9.88%,46.61%,967.06K,1.26
<b>16</b>,<b><a href='https://tossinvest.com/stocks/BK/analytics'>BK</a></b>,Bank Of New York Mellon Corp,US,10,49.6%,10,50.7%,9,45.1%,9,44.3%,6,1.0%,Financials,Capital Markets,False,15.01,62.55B,<span style='color: green;'>2.16%</span>,<span style='color: green;'>2.63%</span>,<span style='color: green;'>11.33%</span>,<span style='color: green;'>33.40%</span>,<span style='color: green;'>61.38%</span>,<span style='color: green;'>13.45%</span>,11.02%,2.24%,5.99%,-2.55%,65.58%,3.80M,1.06
<b>17</b>,<b><a href='https://tossinvest.com/stocks/CM/analytics'>CM</a></b>,Canadian Imperial Bank Of Commerce,CA,10,49.5%,9,49.0%,9,44.9%,8,43.3%,6,0.8%,Financials,Banks,False,11.53,57.75B,<span style='color: red;'>-0.11%</span>,<span style='color: red;'>-2.73%</span>,<span style='color: red;'>-3.08%</span>,<span style='color: green;'>17.53%</span>,<span style='color: green;'>39.99%</span>,<span style='color: red;'>-2.55%</span>,13.02%,4.48%,5.58%,-8.64%,34.42%,1.03M,1.10
<b>18</b>,<b><a href='https://tossinvest.com/stocks/WTFC/analytics'>WTFC</a></b>,Wintrust Financial Corp,US,10,49.4%,9,46.8%,9,46.2%,9,45.8%,5,1.3%,Financials,Banks,buy,12.50,8.57B,<span style='color: red;'>-0.90%</span>,<span style='color: red;'>-5.92%</span>,<span style='color: red;'>-2.23%</span>,<span style='color: green;'>26.05%</span>,<span style='color: green;'>34.51%</span>,<span style='color: green;'>3.30%</span>,11.84%,1.46%,6.30%,-9.31%,40.97%,438.54K,1.15
<b>19</b>,<b><a href='https://tossinvest.com/stocks/CMA/analytics'>CMA</a></b>,"Comerica, Inc",US,10,49.3%,9,48.4%,9,45.1%,8,43.4%,4,2.6%,Financials,Banks,False,13.35,8.81B,<span style='color: green;'>0.22%</span>,<span style='color: green;'>0.95%</span>,<span style='color: red;'>-2.77%</span>,<span style='color: green;'>18.48%</span>,<span style='color: green;'>33.11%</span>,<span style='color: green;'>8.34%</span>,10.72%,4.30%,5.08%,-8.77%,47.86%,2.37M,1.26
<b>20</b>,<b><a href='https://tossinvest.com/stocks/UMBF/analytics'>UMBF</a></b>,UMB Financial Corp,US,10,49.2%,9,47.8%,9,44.9%,9,44.2%,5,1.7%,Financials,Banks,False,12.22,8.01B,<span style='color: red;'>-2.64%</span>,<span style='color: red;'>-9.13%</span>,<span style='color: red;'>-9.20%</span>,<span style='color: green;'>12.23%</span>,<span style='color: green;'>37.85%</span>,<span style='color: red;'>-2.57%</span>,13.44%,1.46%,11.46%,-15.38%,44.68%,620.65K,0.79
<b>21</b>,<b><a href='https://tossinvest.com/stocks/WAL/analytics'>WAL</a></b>,Western Alliance Bancorp,US,10,49.1%,9,48.2%,9,46.5%,9,43.8%,3,4.4%,Financials,Banks,False,12.66,9.88B,<span style='color: green;'>4.30%</span>,<span style='color: red;'>-2.81%</span>,<span style='color: red;'>-0.72%</span>,<span style='color: green;'>13.32%</span>,<span style='color: green;'>47.46%</span>,<span style='color: green;'>7.41%</span>,12.32%,1.67%,5.81%,-8.53%,66.94%,1.04M,1.43
<b>22</b>,<b><a href='https://tossinvest.com/stocks/BMO/analytics'>BMO</a></b>,Bank of Montreal,CA,9,48.9%,9,48.1%,6,40.7%,7,41.5%,6,1.1%,Financials,Banks,False,14.45,73.64B,<span style='color: green;'>2.27%</span>,<span style='color: green;'>0.75%</span>,<span style='color: green;'>8.31%</span>,<span style='color: green;'>18.78%</span>,<span style='color: green;'>11.77%</span>,<span style='color: green;'>3.99%</span>,9.27%,4.52%,5.72%,-3.55%,31.10%,627.31K,1.08
<b>23</b>,<b><a href='https://tossinvest.com/stocks/SSB/analytics'>SSB</a></b>,SouthState Corporation,US,9,48.9%,9,47.6%,9,45.9%,9,45.2%,6,1.2%,Financials,Banks,False,14.56,10.26B,<span style='color: red;'>-1.59%</span>,<span style='color: green;'>0.46%</span>,<span style='color: red;'>-4.44%</span>,<span style='color: green;'>9.83%</span>,<span style='color: green;'>18.76%</span>,<span style='color: green;'>1.89%</span>,9.36%,2.15%,8.51%,-11.29%,43.41%,753.51K,0.66
<b>24</b>,<b><a href='https://tossinvest.com/stocks/SHG/analytics'>SHG</a></b>,Shinhan Financial Group Co. Ltd....,KR,9,48.8%,8,42.6%,6,40.2%,6,40.2%,6,1.2%,Financials,Banks,False,5.30,16.99B,<span style='color: green;'>0.65%</span>,<span style='color: red;'>-3.75%</span>,<span style='color: red;'>-10.60%</span>,<span style='color: red;'>-20.29%</span>,<span style='color: green;'>7.12%</span>,<span style='color: green;'>3.89%</span>,8.62%,4.64%,2.33%,-25.82%,16.79%,209.89K,0.88
<b>25</b>,<b><a href='https://tossinvest.com/stocks/SYF/analytics'>SYF</a></b>,Synchrony Financial,US,9,48.6%,9,47.3%,9,46.9%,8,42.5%,6,1.3%,Financials,Consumer Finance,buy,7.48,24.82B,<span style='color: red;'>-0.23%</span>,<span style='color: red;'>-8.09%</span>,<span style='color: red;'>-1.74%</span>,<span style='color: green;'>34.05%</span>,<span style='color: green;'>61.40%</span>,<span style='color: red;'>-1.77%</span>,22.96%,1.65%,12.98%,-9.98%,62.63%,3.52M,1.65
<b>26</b>,<b><a href='https://tossinvest.com/stocks/BAC/analytics'>BAC</a></b>,Bank Of America Corp,US,9,48.6%,10,50.1%,9,45.0%,9,44.9%,6,1.0%,Financials,Banks,False,14.07,344.77B,<span style='color: red;'>-1.97%</span>,<span style='color: red;'>-2.91%</span>,<span style='color: red;'>-2.56%</span>,<span style='color: green;'>15.60%</span>,<span style='color: green;'>35.45%</span>,<span style='color: green;'>3.07%</span>,9.24%,2.40%,4.41%,-5.78%,36.55%,33.20M,1.33
<b>27</b>,<b><a href='https://tossinvest.com/stocks/DB/analytics'>DB</a></b>,Deutsche Bank AG,DE,9,48.2%,9,44.0%,6,40.1%,5,38.7%,5,1.5%,Financials,Capital Markets,False,9.86,38.69B,<span style='color: green;'>1.34%</span>,<span style='color: green;'>3.92%</span>,<span style='color: green;'>20.08%</span>,<span style='color: green;'>29.96%</span>,<span style='color: green;'>62.60%</span>,<span style='color: green;'>19.59%</span>,6.10%,5.09%,1.38%,-2.72%,59.42%,1.56M,1.25
<b>28</b>,<b><a href='https://tossinvest.com/stocks/PNFP/analytics'>PNFP</a></b>,Pinnacle Financial Partners Inc,US,9,48.0%,9,47.7%,9,47.0%,9,45.2%,5,1.4%,Financials,Banks,False,19.75,9.14B,<span style='color: red;'>-0.83%</span>,<span style='color: red;'>-1.61%</span>,<span style='color: red;'>-4.61%</span>,<span style='color: green;'>26.84%</span>,<span style='color: green;'>41.69%</span>,<span style='color: green;'>3.40%</span>,7.62%,0.79%,5.27%,-10.33%,60.66%,472.71K,1.07
<b>29</b>,<b><a href='https://tossinvest.com/stocks/CFR/analytics'>CFR</a></b>,Cullen Frost Bankers Inc,US,9,48.0%,9,46.7%,9,46.1%,7,42.0%,5,1.4%,Financials,Banks,buy,16.06,9.15B,<span style='color: green;'>0.66%</span>,<span style='color: red;'>-0.16%</span>,<span style='color: green;'>2.92%</span>,<span style='color: green;'>30.54%</span>,<span style='color: green;'>34.28%</span>,<span style='color: green;'>6.05%</span>,15.13%,2.71%,12.95%,-3.57%,51.31%,393.53K,0.96
<b>30</b>,<b><a href='https://tossinvest.com/stocks/GS/analytics'>GS</a></b>,"Goldman Sachs Group, Inc",US,9,47.8%,10,49.2%,9,45.8%,9,44.5%,6,1.0%,Financials,Capital Markets,buy,15.84,200.41B,<span style='color: red;'>-1.04%</span>,<span style='color: green;'>1.18%</span>,<span style='color: green;'>8.75%</span>,<span style='color: green;'>28.65%</span>,<span style='color: green;'>70.07%</span>,<span style='color: green;'>12.16%</span>,11.95%,1.95%,3.71%,-4.45%,68.64%,2.21M,1.36
<b>31</b>,<b><a href='https://tossinvest.com/stocks/NWG/analytics'>NWG</a></b>,NatWest Group Plc ADR,GB,9,47.8%,10,50.1%,6,40.7%,5,37.6%,5,1.4%,Financials,Banks,buy,8.25,45.14B,<span style='color: red;'>-1.06%</span>,<span style='color: green;'>7.16%</span>,<span style='color: green;'>11.31%</span>,<span style='color: green;'>20.78%</span>,<span style='color: green;'>101.59%</span>,<span style='color: green;'>10.32%</span>,13.58%,5.70%,4.93%,-1.67%,92.45%,2.40M,1.20
<b>32</b>,<b><a href='https://tossinvest.com/stocks/FHN/analytics'>FHN</a></b>,First Horizon Corporation,US,9,47.6%,9,45.6%,7,41.1%,9,45.0%,4,2.8%,Financials,Banks,buy,15.93,11.29B,<span style='color: red;'>-2.75%</span>,<span style='color: green;'>0.61%</span>,<span style='color: green;'>5.80%</span>,<span style='color: green;'>35.13%</span>,<span style='color: green;'>55.19%</span>,<span style='color: green;'>6.95%</span>,8.69%,2.87%,7.37%,-4.01%,57.05%,5.65M,0.88
<b>33</b>,<b><a href='https://tossinvest.com/stocks/LYG/analytics'>LYG</a></b>,Lloyds Banking Group plc ADR,GB,9,47.5%,8,43.2%,5,38.9%,4,36.3%,6,1.1%,Financials,Banks,buy,,50.53B,<span style='color: green;'>4.72%</span>,<span style='color: green;'>10.26%</span>,<span style='color: green;'>17.67%</span>,<span style='color: green;'>9.18%</span>,<span style='color: green;'>64.62%</span>,<span style='color: green;'>22.43%</span>,10.68%,5.01%,3.24%,2.78%,56.34%,12.52M,1.28
<b>34</b>,<b><a href='https://tossinvest.com/stocks/DFS/analytics'>DFS</a></b>,Discover Financial Services,US,9,47.3%,9,46.2%,9,45.2%,8,43.1%,5,1.7%,Financials,Consumer Finance,buy,12.84,50.17B,<span style='color: green;'>5.92%</span>,<span style='color: green;'>5.62%</span>,<span style='color: green;'>13.99%</span>,<span style='color: green;'>47.68%</span>,<span style='color: green;'>84.71%</span>,<span style='color: green;'>15.40%</span>,24.73%,1.43%,11.45%,-2.85%,68.35%,1.47M,1.44
<b>35</b>,<b><a href='https://tossinvest.com/stocks/SMFG/analytics'>SMFG</a></b>,Sumitomo Mitsui Financial Group ...,JP,9,47.2%,10,49.7%,6,40.2%,5,37.4%,5,1.4%,Financials,Banks,buy,11.89,101.27B,<span style='color: green;'>6.84%</span>,<span style='color: green;'>4.34%</span>,<span style='color: green;'>11.96%</span>,<span style='color: green;'>14.84%</span>,<span style='color: green;'>51.40%</span>,<span style='color: green;'>7.87%</span>,8.86%,2.67%,3.01%,-1.26%,47.73%,1.44M,0.65
<b>36</b>,<b><a href='https://tossinvest.com/stocks/MFG/analytics'>MFG</a></b>,"Mizuho Financial Group, Inc. ADR",JP,9,47.1%,9,44.8%,6,40.4%,4,37.1%,6,1.3%,Financials,Banks,buy,12.52,72.93B,<span style='color: green;'>6.43%</span>,<span style='color: green;'>11.56%</span>,<span style='color: green;'>18.65%</span>,<span style='color: green;'>37.12%</span>,<span style='color: green;'>61.92%</span>,<span style='color: green;'>18.40%</span>,8.56%,2.93%,3.04%,-2.06%,67.83%,1.14M,0.44
<b>37</b>,<b><a href='https://tossinvest.com/stocks/MTB/analytics'>MTB</a></b>,M & T Bank Corp,US,9,46.9%,9,47.9%,9,45.3%,9,44.4%,6,1.2%,Financials,Banks,buy,13.49,32.76B,<span style='color: red;'>-0.07%</span>,<span style='color: red;'>-0.41%</span>,<span style='color: red;'>-7.48%</span>,<span style='color: green;'>21.81%</span>,<span style='color: green;'>46.16%</span>,<span style='color: green;'>5.02%</span>,9.23%,2.78%,5.97%,-12.52%,48.42%,1.15M,0.72
<b>38</b>,<b><a href='https://tossinvest.com/stocks/META/analytics'>META</a></b>,Meta Platforms Inc,US,9,46.7%,6,40.7%,9,46.2%,8,43.0%,6,1.3%,Communication Services,Interactive Media & Se...,buy,29.05,1760.65B,<span style='color: red;'>-4.21%</span>,<span style='color: green;'>12.71%</span>,<span style='color: green;'>25.50%</span>,<span style='color: green;'>31.51%</span>,<span style='color: green;'>47.36%</span>,<span style='color: green;'>18.67%</span>,37.14%,0.25%,27.07%,-6.22%,67.63%,13.98M,1.23
<b>39</b>,<b><a href='https://tossinvest.com/stocks/TMUS/analytics'>TMUS</a></b>,T-Mobile US Inc,US,9,46.6%,6,40.7%,9,44.8%,8,42.3%,6,0.9%,Communication Services,Wireless Telecommunica...,buy,27.43,303.02B,<span style='color: green;'>3.96%</span>,<span style='color: green;'>20.92%</span>,<span style='color: green;'>13.05%</span>,<span style='color: green;'>35.25%</span>,<span style='color: green;'>67.87%</span>,<span style='color: green;'>20.24%</span>,17.93%,1.36%,6.78%,-2.21%,67.09%,3.75M,0.67
<b>40</b>,<b><a href='https://tossinvest.com/stocks/FOXA/analytics'>FOXA</a></b>,Fox Corporation,US,9,46.4%,6,40.2%,9,45.8%,6,40.3%,6,0.9%,Communication Services,Media,False,12.28,25.11B,<span style='color: green;'>4.90%</span>,<span style='color: green;'>19.79%</span>,<span style='color: green;'>25.72%</span>,<span style='color: green;'>44.53%</span>,<span style='color: green;'>88.50%</span>,<span style='color: green;'>18.11%</span>,20.09%,0.95%,11.53%,-0.59%,102.86%,3.72M,0.71
<b>41</b>,<b><a href='https://tossinvest.com/stocks/FOX/analytics'>FOX</a></b>,Fox Corporation,US,9,46.4%,6,40.2%,9,45.8%,6,40.3%,6,0.9%,Communication Services,Media,False,11.42,25.03B,<span style='color: green;'>3.73%</span>,<span style='color: green;'>16.94%</span>,<span style='color: green;'>24.49%</span>,<span style='color: green;'>44.71%</span>,<span style='color: green;'>90.95%</span>,<span style='color: green;'>16.68%</span>,20.09%,1.02%,11.53%,-1.08%,106.74%,1.17M,0.77
<b>42</b>,<b><a href='https://tossinvest.com/stocks/AXP/analytics'>AXP</a></b>,American Express Co,US,9,46.3%,9,45.2%,9,45.3%,9,44.1%,6,1.0%,Financials,Consumer Finance,buy,21.69,213.47B,<span style='color: red;'>-0.83%</span>,<span style='color: red;'>-4.43%</span>,<span style='color: green;'>5.92%</span>,<span style='color: green;'>19.91%</span>,<span style='color: green;'>44.20%</span>,<span style='color: green;'>2.38%</span>,34.47%,1.07%,14.82%,-6.87%,45.32%,2.41M,1.20
<b>43</b>,<b><a href='https://tossinvest.com/stocks/ISRG/analytics'>ISRG</a></b>,Intuitive Surgical Inc,US,9,46.3%,7,41.3%,9,46.7%,7,42.1%,6,1.0%,Health Care,Health Care Equipment ...,buy,94.58,216.34B,<span style='color: green;'>2.88%</span>,<span style='color: green;'>0.41%</span>,<span style='color: green;'>14.97%</span>,<span style='color: green;'>25.80%</span>,<span style='color: green;'>60.20%</span>,<span style='color: green;'>16.21%</span>,15.62%,,14.04%,-1.53%,66.56%,1.53M,1.43
<b>44</b>,<b><a href='https://tossinvest.com/stocks/TOST/analytics'>TOST</a></b>,Toast Inc,US,9,46.3%,8,42.3%,9,47.0%,8,42.6%,5,2.1%,Information Technology,IT Services,False,,22.87B,<span style='color: green;'>1.28%</span>,<span style='color: green;'>4.17%</span>,<span style='color: red;'>-0.84%</span>,<span style='color: green;'>61.69%</span>,<span style='color: green;'>79.57%</span>,<span style='color: green;'>10.45%</span>,1.46%,,1.27%,-8.74%,96.49%,6.31M,1.98
<b>45</b>,<b><a href='https://tossinvest.com/stocks/AVGO/analytics'>AVGO</a></b>,Broadcom Inc,US,9,46.2%,6,40.2%,9,47.1%,6,40.6%,5,1.9%,Information Technology,Semiconductors & Semic...,buy,185.99,1062.81B,<span style='color: red;'>-4.07%</span>,<span style='color: red;'>-5.65%</span>,<span style='color: green;'>37.55%</span>,<span style='color: green;'>35.63%</span>,<span style='color: green;'>83.98%</span>,<span style='color: red;'>-2.20%</span>,13.46%,1.03%,4.36%,-9.98%,89.33%,33.04M,1.01
<b>46</b>,<b><a href='https://tossinvest.com/stocks/HWM/analytics'>HWM</a></b>,Howmet Aerospace Inc,US,9,46.1%,6,40.7%,9,45.7%,8,42.7%,6,1.1%,Industrials,Aerospace & Defense,buy,49.23,56.07B,<span style='color: green;'>8.08%</span>,<span style='color: green;'>8.87%</span>,<span style='color: green;'>23.60%</span>,<span style='color: green;'>43.65%</span>,<span style='color: green;'>120.38%</span>,<span style='color: green;'>26.58%</span>,26.89%,0.30%,14.66%,-1.50%,120.80%,2.53M,1.57
<b>47</b>,<b><a href='https://tossinvest.com/stocks/TD/analytics'>TD</a></b>,Toronto Dominion Bank,CA,9,46.1%,10,49.6%,5,39.3%,6,40.5%,6,1.0%,Financials,Banks,False,17.39,105.65B,<span style='color: green;'>0.68%</span>,<span style='color: green;'>5.40%</span>,<span style='color: green;'>7.92%</span>,<span style='color: green;'>3.33%</span>,<span style='color: green;'>5.13%</span>,<span style='color: green;'>13.37%</span>,7.97%,4.90%,4.48%,-7.01%,17.78%,2.46M,0.83
<b>48</b>,<b><a href='https://tossinvest.com/stocks/NFLX/analytics'>NFLX</a></b>,Netflix Inc,US,9,46.1%,7,41.3%,9,46.1%,8,42.7%,6,1.2%,Communication Services,Entertainment,buy,51.67,438.25B,<span style='color: red;'>-0.27%</span>,<span style='color: green;'>17.81%</span>,<span style='color: green;'>24.34%</span>,<span style='color: green;'>48.80%</span>,<span style='color: green;'>75.45%</span>,<span style='color: green;'>14.95%</span>,38.43%,,21.50%,-3.75%,89.03%,3.61M,1.38
<b>49</b>,<b><a href='https://tossinvest.com/stocks/WMT/analytics'>WMT</a></b>,Walmart Inc,US,9,45.9%,7,41.2%,9,46.2%,8,42.2%,6,0.8%,Consumer Staples,Food & Staples Retailing,buy,40.38,780.93B,<span style='color: red;'>-6.18%</span>,<span style='color: green;'>4.44%</span>,<span style='color: green;'>15.64%</span>,<span style='color: green;'>32.15%</span>,<span style='color: green;'>73.22%</span>,<span style='color: green;'>7.59%</span>,22.23%,0.90%,13.58%,-7.68%,68.77%,16.58M,0.54
<b>50</b>,<b><a href='https://tossinvest.com/stocks/MMM/analytics'>MMM</a></b>,3M Co,US,9,45.9%,7,41.1%,9,44.8%,7,41.5%,6,1.1%,Industrials,Industrial Conglomerates,False,19.75,80.94B,<span style='color: green;'>0.14%</span>,<span style='color: green;'>1.49%</span>,<span style='color: green;'>14.86%</span>,<span style='color: green;'>18.57%</span>,<span style='color: green;'>97.86%</span>,<span style='color: green;'>15.49%</span>,97.86%,2.06%,27.06%,-3.82%,97.08%,3.47M,0.96
<b>51</b>,<b><a href='https://tossinvest.com/stocks/ALLY/analytics'>ALLY</a></b>,Ally Financial Inc,US,9,45.9%,8,43.0%,6,40.4%,9,43.9%,5,1.7%,Financials,Consumer Finance,False,14.98,11.86B,<span style='color: green;'>4.54%</span>,<span style='color: green;'>1.94%</span>,<span style='color: green;'>7.45%</span>,<span style='color: red;'>-8.21%</span>,<span style='color: green;'>10.74%</span>,<span style='color: green;'>8.08%</span>,6.63%,3.08%,2.57%,-14.39%,21.82%,3.30M,1.38
<b>52</b>,<b><a href='https://tossinvest.com/stocks/AXON/analytics'>AXON</a></b>,Axon Enterprise Inc,US,9,45.8%,7,41.1%,6,40.0%,8,43.2%,5,1.8%,Industrials,Aerospace & Defense,buy,140.31,41.32B,<span style='color: red;'>-18.53%</span>,<span style='color: red;'>-10.53%</span>,<span style='color: red;'>-9.60%</span>,<span style='color: green;'>45.23%</span>,<span style='color: green;'>100.82%</span>,<span style='color: red;'>-8.84%</span>,16.48%,,10.58%,-24.33%,108.18%,844.20K,1.08
